station_name,date,period,period_utc,tm,tx,tn,hr,ppt
Fornells de la Selva,2026-02-28,00:00 - 00:30,00:00 - 00:30,6.7,7.1,6.4,97.0,0.0
Fornells de la Selva,2026-02-28,00:30 - 01:00,00:30 - 01:00,7.2,7.3,7.1,96.0,0.0
Fornells de la Selva,2026-02-28,01:00 - 01:30,01:00 - 01:30,7.3,7.5,7.1,96.0,0.0
Fornells de la Selva,2026-02-28,01:30 - 02:00,01:30 - 02:00,7.8,7.9,7.5,96.0,0.0
Fornells de la Selva,2026-02-28,02:00 - 02:30,02:00 - 02:30,7.9,8.0,7.9,96.0,0.0
Fornells de la Selva,2026-02-28,02:30 - 03:00,02:30 - 03:00,8.1,8.2,8.0,97.0,0.0
Fornells de la Selva,2026-02-28,03:00 - 03:30,03:00 - 03:30,8.4,8.4,8.2,96.0,0.0
Fornells de la Selva,2026-02-28,03:30 - 04:00,03:30 - 04:00,8.5,8.6,8.4,96.0,0.0
Fornells de la Selva,2026-02-28,04:00 - 04:30,04:00 - 04:30,8.6,8.7,8.5,96.0,0.0
