station_name,date,period,period_utc,tm,tx,tn,hr,ppt
Fornells de la Selva,2026-05-22,00:00 - 00:30,00:00 - 00:30,13.5,13.9,12.9,96.0,0.0
Fornells de la Selva,2026-05-22,00:30 - 01:00,00:30 - 01:00,13.0,13.1,12.8,97.0,0.0
Fornells de la Selva,2026-05-22,01:00 - 01:30,01:00 - 01:30,12.9,13.2,12.6,97.0,0.0
Fornells de la Selva,2026-05-22,01:30 - 02:00,01:30 - 02:00,12.6,12.8,12.4,98.0,0.0
Fornells de la Selva,2026-05-22,02:00 - 02:30,02:00 - 02:30,12.5,12.8,12.0,98.0,0.0
Fornells de la Selva,2026-05-22,02:30 - 03:00,02:30 - 03:00,12.2,12.6,11.8,98.0,0.0
Fornells de la Selva,2026-05-22,03:00 - 03:30,03:00 - 03:30,12.0,12.3,11.6,98.0,0.0
Fornells de la Selva,2026-05-22,03:30 - 04:00,03:30 - 04:00,11.4,11.9,11.3,98.0,0.0
Fornells de la Selva,2026-05-22,04:00 - 04:30,04:00 - 04:30,11.6,12.0,11.2,98.0,0.0
Fornells de la Selva,2026-05-22,04:30 - 05:00,04:30 - 05:00,11.8,11.9,11.6,98.0,0.0
Fornells de la Selva,2026-05-22,05:00 - 05:30,05:00 - 05:30,13.1,14.8,11.8,99.0,0.0
Fornells de la Selva,2026-05-22,05:30 - 06:00,05:30 - 06:00,15.4,18.0,14.1,92.0,0.0
Fornells de la Selva,2026-05-22,06:00 - 06:30,06:00 - 06:30,18.2,19.4,17.8,84.0,0.0
