station_name,date,period,period_utc,tm,tx,tn,hr,ppt
Fornells de la Selva,2026-01-24,00:00 - 00:30,00:00 - 00:30,2.1,2.5,1.9,91.0,0.0
Fornells de la Selva,2026-01-24,00:30 - 01:00,00:30 - 01:00,1.8,2.0,1.7,92.0,0.0
Fornells de la Selva,2026-01-24,01:00 - 01:30,01:00 - 01:30,1.9,2.0,1.7,92.0,0.0
Fornells de la Selva,2026-01-24,01:30 - 02:00,01:30 - 02:00,2.1,2.2,2.0,92.0,0.0
Fornells de la Selva,2026-01-24,02:00 - 02:30,02:00 - 02:30,2.1,2.2,2.0,93.0,0.0
Fornells de la Selva,2026-01-24,02:30 - 03:00,02:30 - 03:00,2.1,2.2,2.0,92.0,0.0
Fornells de la Selva,2026-01-24,03:00 - 03:30,03:00 - 03:30,2.1,2.2,2.0,93.0,0.0
Fornells de la Selva,2026-01-24,03:30 - 04:00,03:30 - 04:00,2.2,2.4,2.1,94.0,0.0
Fornells de la Selva,2026-01-24,04:00 - 04:30,04:00 - 04:30,2.4,2.4,2.3,93.0,0.0
Fornells de la Selva,2026-01-24,04:30 - 05:00,04:30 - 05:00,2.5,2.9,2.3,93.0,0.0
