station_name,date,period,period_utc,tm,tx,tn,hr,ppt
Fornells de la Selva,2026-05-17,00:00 - 00:30,00:00 - 00:30,11.6,11.9,11.5,96.0,0.0
Fornells de la Selva,2026-05-17,00:30 - 01:00,00:30 - 01:00,11.5,11.6,11.3,97.0,0.0
Fornells de la Selva,2026-05-17,01:00 - 01:30,01:00 - 01:30,11.0,11.2,10.6,97.0,0.0
Fornells de la Selva,2026-05-17,01:30 - 02:00,01:30 - 02:00,10.3,10.6,9.7,97.0,0.0
Fornells de la Selva,2026-05-17,02:00 - 02:30,02:00 - 02:30,9.3,9.7,8.9,97.0,0.0
Fornells de la Selva,2026-05-17,02:30 - 03:00,02:30 - 03:00,8.7,9.4,8.2,97.0,0.0
Fornells de la Selva,2026-05-17,03:00 - 03:30,03:00 - 03:30,8.6,8.9,8.4,98.0,0.0
Fornells de la Selva,2026-05-17,03:30 - 04:00,03:30 - 04:00,8.2,8.5,7.9,98.0,0.0
Fornells de la Selva,2026-05-17,04:00 - 04:30,04:00 - 04:30,7.6,8.1,7.2,98.0,0.0
Fornells de la Selva,2026-05-17,04:30 - 05:00,04:30 - 05:00,7.3,7.6,7.0,98.0,0.0
Fornells de la Selva,2026-05-17,05:00 - 05:30,05:00 - 05:30,8.4,9.3,7.6,98.0,0.0
