station_name,date,period,period_utc,tm,tx,tn,hr,ppt,vvm,dvm,vvx,pm,rs
Girona,2026-05-13,00:00 - 00:30,00:00 - 00:30,11.2,11.6,11.0,100.0,0.0,0.0,113.0,2.9,1012.9,0.0
Girona,2026-05-13,00:30 - 01:00,00:30 - 01:00,10.8,11.0,10.6,100.0,0.0,0.4,297.0,2.2,1012.9,0.0
Girona,2026-05-13,01:00 - 01:30,01:00 - 01:30,10.3,10.6,10.2,100.0,0.0,1.4,275.0,4.0,1012.8,0.0
Girona,2026-05-13,01:30 - 02:00,01:30 - 02:00,9.9,10.2,9.6,100.0,0.0,0.4,334.0,3.2,1012.8,0.0
Girona,2026-05-13,02:00 - 02:30,02:00 - 02:30,9.4,9.7,9.3,100.0,0.0,1.8,293.0,6.1,1012.6,0.0
Girona,2026-05-13,02:30 - 03:00,02:30 - 03:00,9.2,9.6,8.9,100.0,0.0,1.1,321.0,5.0,1012.6,0.0
Girona,2026-05-13,03:00 - 03:30,03:00 - 03:30,8.9,8.9,8.8,100.0,0.0,1.4,299.0,4.7,1012.7,0.0
Girona,2026-05-13,03:30 - 04:00,03:30 - 04:00,8.7,8.9,8.4,100.0,0.0,2.5,274.0,5.8,1012.9,0.0
Girona,2026-05-13,04:00 - 04:30,04:00 - 04:30,8.8,9.2,8.4,100.0,0.0,0.4,203.0,2.9,1013.1,1.0
Girona,2026-05-13,04:30 - 05:00,04:30 - 05:00,9.4,9.6,9.2,100.0,0.0,1.8,261.0,3.6,1013.2,8.0
Girona,2026-05-13,05:00 - 05:30,05:00 - 05:30,9.9,10.0,9.7,100.0,0.0,1.1,261.0,4.3,1013.4,28.0
Girona,2026-05-13,05:30 - 06:00,05:30 - 06:00,10.3,10.7,10.0,100.0,0.0,1.4,268.0,5.0,1013.8,51.0
Girona,2026-05-13,06:00 - 06:30,06:00 - 06:30,11.0,11.3,10.8,100.0,0.0,0.7,291.0,3.6,1013.9,85.0
Girona,2026-05-13,06:30 - 07:00,06:30 - 07:00,11.8,12.4,11.3,96.0,0.0,1.1,310.0,4.0,1014.0,114.0
Girona,2026-05-13,07:00 - 07:30,07:00 - 07:30,12.9,13.4,12.4,89.0,0.0,1.4,348.0,3.6,1014.0,197.0
Girona,2026-05-13,07:30 - 08:00,07:30 - 08:00,14.6,15.8,13.5,81.0,0.0,1.8,18.0,8.3,1014.0,364.0
Girona,2026-05-13,08:00 - 08:30,08:00 - 08:30,16.0,16.3,15.4,74.0,0.0,3.6,27.0,9.4,1013.9,456.0
Girona,2026-05-13,08:30 - 09:00,08:30 - 09:00,16.3,16.6,16.0,72.0,0.0,5.4,12.0,11.5,1014.0,373.0
Girona,2026-05-13,09:00 - 09:30,09:00 - 09:30,16.6,17.4,16.2,70.0,0.0,6.1,29.0,14.0,1014.1,445.0
Girona,2026-05-13,09:30 - 10:00,09:30 - 10:00,18.3,19.2,17.5,62.0,0.0,5.8,26.0,11.5,1014.1,879.0
Girona,2026-05-13,10:00 - 10:30,10:00 - 10:30,19.4,19.9,18.9,54.0,0.0,4.0,339.0,10.1,1013.9,939.0
Girona,2026-05-13,10:30 - 11:00,10:30 - 11:00,19.9,20.3,19.0,54.0,0.0,4.7,171.0,15.8,1013.8,710.0
Girona,2026-05-13,11:00 - 11:30,11:00 - 11:30,20.0,20.7,19.3,57.0,0.0,7.6,155.0,17.3,1013.6,713.0
Girona,2026-05-13,11:30 - 12:00,11:30 - 12:00,20.4,21.1,19.3,55.0,0.0,7.6,127.0,18.0,1013.5,745.0
Girona,2026-05-13,12:00 - 12:30,12:00 - 12:30,18.5,19.3,18.0,61.0,0.0,10.4,134.0,20.5,1013.6,104.0
Girona,2026-05-13,12:30 - 13:00,12:30 - 13:00,15.1,18.0,14.2,88.0,6.0,9.0,95.0,18.0,1014.0,68.0
Girona,2026-05-13,13:00 - 13:30,13:00 - 13:30,15.1,15.6,14.5,93.0,1.1,7.9,115.0,15.1,1013.9,151.0
Girona,2026-05-13,13:30 - 14:00,13:30 - 14:00,16.0,16.5,15.6,87.0,0.0,7.6,121.0,15.5,1013.5,207.0
Girona,2026-05-13,14:00 - 14:30,14:00 - 14:30,17.1,17.4,16.5,81.0,0.0,7.6,142.0,14.8,1013.2,319.0
Girona,2026-05-13,14:30 - 15:00,14:30 - 15:00,17.6,18.3,17.2,75.0,0.0,7.2,143.0,14.4,1013.1,352.0
Girona,2026-05-13,15:00 - 15:30,15:00 - 15:30,17.7,17.9,17.5,72.0,0.1,7.6,146.0,14.4,1013.1,218.0
Girona,2026-05-13,15:30 - 16:00,15:30 - 16:00,17.8,17.9,17.7,70.0,0.0,6.8,182.0,13.7,1013.0,200.0
Girona,2026-05-13,16:00 - 16:30,16:00 - 16:30,17.6,17.9,17.4,68.0,0.0,8.3,221.0,15.8,1013.0,155.0
