station_name,date,period,period_utc,tm,tx,tn,hr,ppt
Fornells de la Selva,2026-07-29,00:00 - 00:30,00:00 - 00:30,22.1,22.3,21.9,92.0,0.0
Fornells de la Selva,2026-07-29,00:30 - 01:00,00:30 - 01:00,22.0,22.3,21.7,92.0,0.0
Fornells de la Selva,2026-07-29,01:00 - 01:30,01:00 - 01:30,21.6,21.7,21.4,93.0,0.0
Fornells de la Selva,2026-07-29,01:30 - 02:00,01:30 - 02:00,21.4,21.7,21.1,93.0,0.0
Fornells de la Selva,2026-07-29,02:00 - 02:30,02:00 - 02:30,21.3,21.5,20.9,93.0,0.0
Fornells de la Selva,2026-07-29,02:30 - 03:00,02:30 - 03:00,20.7,20.8,20.4,94.0,0.0
Fornells de la Selva,2026-07-29,03:00 - 03:30,03:00 - 03:30,20.3,20.4,20.1,95.0,0.0
Fornells de la Selva,2026-07-29,03:30 - 04:00,03:30 - 04:00,20.1,20.4,20.0,95.0,0.0
Fornells de la Selva,2026-07-29,04:00 - 04:30,04:00 - 04:30,20.0,20.1,19.7,95.0,0.0
Fornells de la Selva,2026-07-29,04:30 - 05:00,04:30 - 05:00,19.6,19.7,19.5,96.0,0.0
Fornells de la Selva,2026-07-29,05:00 - 05:30,05:00 - 05:30,19.9,20.7,19.5,95.0,0.0
