station_name,date,period,period_utc,tm,tx,tn,hr,ppt
Fornells de la Selva,2026-02-18,00:00 - 00:30,00:00 - 00:30,10.0,10.0,9.9,91.0,0.0
Fornells de la Selva,2026-02-18,00:30 - 01:00,00:30 - 01:00,9.8,9.9,9.7,93.0,0.0
Fornells de la Selva,2026-02-18,01:00 - 01:30,01:00 - 01:30,9.6,9.7,9.6,93.0,0.0
Fornells de la Selva,2026-02-18,01:30 - 02:00,01:30 - 02:00,9.5,9.7,9.2,94.0,0.0
Fornells de la Selva,2026-02-18,02:00 - 02:30,02:00 - 02:30,8.7,9.3,7.6,93.0,0.0
Fornells de la Selva,2026-02-18,02:30 - 03:00,02:30 - 03:00,7.1,7.4,7.0,95.0,0.0
Fornells de la Selva,2026-02-18,03:00 - 03:30,03:00 - 03:30,6.6,7.2,5.9,96.0,0.0
Fornells de la Selva,2026-02-18,03:30 - 04:00,03:30 - 04:00,5.9,6.2,5.3,96.0,0.0
Fornells de la Selva,2026-02-18,04:00 - 04:30,04:00 - 04:30,5.8,6.1,5.4,97.0,0.0
Fornells de la Selva,2026-02-18,04:30 - 05:00,04:30 - 05:00,5.9,6.3,5.6,97.0,0.0
Fornells de la Selva,2026-02-18,05:00 - 05:30,05:00 - 05:30,5.4,6.0,4.7,97.0,0.0
Fornells de la Selva,2026-02-18,05:30 - 06:00,05:30 - 06:00,4.8,5.2,4.5,97.0,0.0
Fornells de la Selva,2026-02-18,06:00 - 06:30,06:00 - 06:30,4.6,4.8,4.3,97.0,0.0
Fornells de la Selva,2026-02-18,06:30 - 07:00,06:30 - 07:00,4.6,4.7,4.4,97.0,0.0
Fornells de la Selva,2026-02-18,07:00 - 07:30,07:00 - 07:30,4.7,5.1,4.6,98.0,0.0
Fornells de la Selva,2026-02-18,07:30 - 08:00,07:30 - 08:00,5.9,6.5,5.2,98.0,0.0
