station_name,date,period,period_utc,tm,tx,tn,hr,ppt
Fornells de la Selva,2026-06-09,00:00 - 00:30,00:00 - 00:30,16.1,16.3,15.8,96.0,0.0
Fornells de la Selva,2026-06-09,00:30 - 01:00,00:30 - 01:00,15.8,16.3,15.6,96.0,0.0
Fornells de la Selva,2026-06-09,01:00 - 01:30,01:00 - 01:30,15.8,16.0,15.6,96.0,0.0
Fornells de la Selva,2026-06-09,01:30 - 02:00,01:30 - 02:00,15.6,15.8,15.5,96.0,0.0
Fornells de la Selva,2026-06-09,02:00 - 02:30,02:00 - 02:30,15.2,15.8,14.8,96.0,0.0
Fornells de la Selva,2026-06-09,02:30 - 03:00,02:30 - 03:00,14.8,15.1,14.6,97.0,0.0
Fornells de la Selva,2026-06-09,03:00 - 03:30,03:00 - 03:30,14.8,14.9,14.5,98.0,0.0
Fornells de la Selva,2026-06-09,03:30 - 04:00,03:30 - 04:00,14.4,14.7,14.2,98.0,0.0
Fornells de la Selva,2026-06-09,04:00 - 04:30,04:00 - 04:30,14.4,14.6,14.2,98.0,0.0
Fornells de la Selva,2026-06-09,04:30 - 05:00,04:30 - 05:00,15.0,15.8,14.5,98.0,0.0
Fornells de la Selva,2026-06-09,05:00 - 05:30,05:00 - 05:30,16.5,17.0,15.9,98.0,0.0
Fornells de la Selva,2026-06-09,05:30 - 06:00,05:30 - 06:00,17.2,17.3,17.0,95.0,0.0
Fornells de la Selva,2026-06-09,06:00 - 06:30,06:00 - 06:30,19.4,20.9,17.3,87.0,0.0
Fornells de la Selva,2026-06-09,06:30 - 07:00,06:30 - 07:00,21.4,22.2,20.9,73.0,0.0
Fornells de la Selva,2026-06-09,07:00 - 07:30,07:00 - 07:30,22.4,22.7,22.1,65.0,0.0
Fornells de la Selva,2026-06-09,07:30 - 08:00,07:30 - 08:00,23.6,24.2,22.7,60.0,0.0
Fornells de la Selva,2026-06-09,08:00 - 08:30,08:00 - 08:30,24.5,25.1,23.7,57.0,0.0
Fornells de la Selva,2026-06-09,08:30 - 09:00,08:30 - 09:00,24.3,25.0,23.8,58.0,0.0
Fornells de la Selva,2026-06-09,09:00 - 09:30,09:00 - 09:30,25.5,25.9,25.0,55.0,0.0
Fornells de la Selva,2026-06-09,09:30 - 10:00,09:30 - 10:00,25.5,26.3,25.0,56.0,0.0
Fornells de la Selva,2026-06-09,10:00 - 10:30,10:00 - 10:30,25.9,26.4,25.4,55.0,0.0
Fornells de la Selva,2026-06-09,10:30 - 11:00,10:30 - 11:00,25.9,26.3,25.5,55.0,0.0
Fornells de la Selva,2026-06-09,11:00 - 11:30,11:00 - 11:30,25.7,25.9,25.5,57.0,0.0
Fornells de la Selva,2026-06-09,11:30 - 12:00,11:30 - 12:00,25.0,25.4,23.8,58.0,0.0
Fornells de la Selva,2026-06-09,12:00 - 12:30,12:00 - 12:30,23.5,23.7,22.9,56.0,0.0
Fornells de la Selva,2026-06-09,12:30 - 13:00,12:30 - 13:00,22.8,23.6,22.5,62.0,0.0
Fornells de la Selva,2026-06-09,13:00 - 13:30,13:00 - 13:30,23.6,23.9,23.3,58.0,0.0
Fornells de la Selva,2026-06-09,13:30 - 14:00,13:30 - 14:00,23.2,23.3,23.1,58.0,0.0
Fornells de la Selva,2026-06-09,14:00 - 14:30,14:00 - 14:30,23.1,23.3,22.9,58.0,0.0
Fornells de la Selva,2026-06-09,14:30 - 15:00,14:30 - 15:00,23.0,23.4,22.8,58.0,0.0
Fornells de la Selva,2026-06-09,15:00 - 15:30,15:00 - 15:30,23.3,23.6,23.0,56.0,0.0
Fornells de la Selva,2026-06-09,15:30 - 16:00,15:30 - 16:00,23.3,23.4,23.2,56.0,0.0
Fornells de la Selva,2026-06-09,16:00 - 16:30,16:00 - 16:30,22.8,23.3,22.4,58.0,0.0
Fornells de la Selva,2026-06-09,16:30 - 17:00,16:30 - 17:00,22.2,22.4,21.9,60.0,0.0
Fornells de la Selva,2026-06-09,17:00 - 17:30,17:00 - 17:30,21.7,22.0,21.0,62.0,0.0
Fornells de la Selva,2026-06-09,17:30 - 18:00,17:30 - 18:00,20.7,21.0,20.6,66.0,0.0
Fornells de la Selva,2026-06-09,18:00 - 18:30,18:00 - 18:30,20.6,20.6,20.4,68.0,0.0
Fornells de la Selva,2026-06-09,18:30 - 19:00,18:30 - 19:00,20.2,20.3,19.9,69.0,0.0
Fornells de la Selva,2026-06-09,19:00 - 19:30,19:00 - 19:30,19.5,19.9,19.2,71.0,0.0
Fornells de la Selva,2026-06-09,19:30 - 20:00,19:30 - 20:00,18.9,19.2,18.7,75.0,0.0
Fornells de la Selva,2026-06-09,20:00 - 20:30,20:00 - 20:30,18.4,18.6,18.3,77.0,0.0
Fornells de la Selva,2026-06-09,20:30 - 21:00,20:30 - 21:00,18.2,18.3,17.9,81.0,0.0
Fornells de la Selva,2026-06-09,21:00 - 21:30,21:00 - 21:30,17.4,18.0,17.1,83.0,0.0
