station_name,date,period,period_utc,tm,tx,tn,hr,ppt,vvm,dvm,vvx,pm,rs
Girona,2026-09-15,00:00 - 00:30,00:00 - 00:30,15.5,15.6,15.3,93.0,0.0,0.4,276.0,2.2,1020.5,0.0
Girona,2026-09-15,00:30 - 01:00,00:30 - 01:00,15.1,15.4,14.8,94.0,0.0,0.7,296.0,2.9,1020.4,0.0
Girona,2026-09-15,01:00 - 01:30,01:00 - 01:30,14.8,14.9,14.5,95.0,0.0,1.1,267.0,4.7,1020.3,0.0
Girona,2026-09-15,01:30 - 02:00,01:30 - 02:00,14.4,14.5,14.3,96.0,0.0,0.7,256.0,3.2,1020.2,0.0
Girona,2026-09-15,02:00 - 02:30,02:00 - 02:30,14.2,14.4,14.0,97.0,0.0,0.7,245.0,3.6,1020.1,0.0
Girona,2026-09-15,02:30 - 03:00,02:30 - 03:00,14.0,14.1,13.9,97.0,0.0,0.7,294.0,2.9,1020.0,0.0
Girona,2026-09-15,03:00 - 03:30,03:00 - 03:30,13.7,13.9,13.5,98.0,0.0,1.1,283.0,3.6,1020.0,0.0
Girona,2026-09-15,03:30 - 04:00,03:30 - 04:00,13.4,13.5,13.3,99.0,0.0,0.4,271.0,2.2,1019.8,0.0
Girona,2026-09-15,04:00 - 04:30,04:00 - 04:30,13.3,13.4,13.1,99.0,0.0,1.4,266.0,5.0,1019.8,0.0
Girona,2026-09-15,04:30 - 05:00,04:30 - 05:00,13.1,13.2,13.0,99.0,0.0,0.7,263.0,3.6,1019.8,0.0
Girona,2026-09-15,05:00 - 05:30,05:00 - 05:30,13.1,13.3,13.0,100.0,0.0,0.7,263.0,2.5,1020.0,0.0
Girona,2026-09-15,05:30 - 06:00,05:30 - 06:00,13.2,13.6,13.1,100.0,0.0,0.7,263.0,2.9,1020.3,21.0
Girona,2026-09-15,06:00 - 06:30,06:00 - 06:30,15.1,16.7,13.6,90.0,0.0,0.0,263.0,1.4,1020.4,88.0
Girona,2026-09-15,06:30 - 07:00,06:30 - 07:00,18.0,19.5,16.8,76.0,0.0,0.4,262.0,1.8,1020.4,174.0
Girona,2026-09-15,07:00 - 07:30,07:00 - 07:30,20.5,21.4,19.6,66.0,0.0,1.1,272.0,3.6,1020.5,266.0
Girona,2026-09-15,07:30 - 08:00,07:30 - 08:00,22.7,24.4,21.4,58.0,0.0,1.1,141.0,4.3,1020.4,367.0
