station_name,date,period,period_utc,tm,tx,tn,hr,ppt,vvm,dvm,vvx,pm,rs
Girona,2026-06-25,00:00 - 00:30,00:00 - 00:30,19.2,19.5,18.9,79.0,0.0,1.8,238.0,4.3,1016.1,0.0
Girona,2026-06-25,00:30 - 01:00,00:30 - 01:00,18.6,18.9,18.2,85.0,0.0,2.5,320.0,4.7,1016.0,0.0
Girona,2026-06-25,01:00 - 01:30,01:00 - 01:30,18.0,18.2,17.8,88.0,0.0,1.1,277.0,3.6,1015.9,0.0
Girona,2026-06-25,01:30 - 02:00,01:30 - 02:00,17.6,17.8,17.3,90.0,0.0,1.4,303.0,4.0,1015.8,0.0
Girona,2026-06-25,02:00 - 02:30,02:00 - 02:30,17.1,17.3,16.9,92.0,0.0,1.1,292.0,4.7,1015.8,0.0
Girona,2026-06-25,02:30 - 03:00,02:30 - 03:00,17.2,17.5,17.0,91.0,0.0,3.2,259.0,5.8,1015.8,0.0
Girona,2026-06-25,03:00 - 03:30,03:00 - 03:30,17.2,17.5,17.0,90.0,0.0,1.1,274.0,4.0,1015.7,0.0
Girona,2026-06-25,03:30 - 04:00,03:30 - 04:00,16.8,17.0,16.6,95.0,0.0,1.1,315.0,5.0,1015.6,0.0
Girona,2026-06-25,04:00 - 04:30,04:00 - 04:30,16.4,16.7,16.3,96.0,0.0,0.4,301.0,4.0,1015.7,3.0
Girona,2026-06-25,04:30 - 05:00,04:30 - 05:00,16.4,16.5,16.3,96.0,0.0,1.4,277.0,4.3,1015.8,18.0
Girona,2026-06-25,05:00 - 05:30,05:00 - 05:30,17.5,19.0,16.5,91.0,0.0,1.1,238.0,5.0,1016.1,89.0
Girona,2026-06-25,05:30 - 06:00,05:30 - 06:00,19.8,20.4,19.1,78.0,0.0,2.5,279.0,7.6,1016.1,176.0
Girona,2026-06-25,06:00 - 06:30,06:00 - 06:30,21.3,23.0,20.4,72.0,0.0,0.7,267.0,2.9,1016.1,191.0
Girona,2026-06-25,06:30 - 07:00,06:30 - 07:00,24.7,25.8,23.1,58.0,0.0,1.8,348.0,5.4,1016.1,385.0
Girona,2026-06-25,07:00 - 07:30,07:00 - 07:30,27.1,28.7,26.0,54.0,0.0,1.4,70.0,4.7,1016.0,441.0
Girona,2026-06-25,07:30 - 08:00,07:30 - 08:00,28.0,29.3,27.5,53.0,0.0,2.9,34.0,6.1,1015.9,543.0
Girona,2026-06-25,08:00 - 08:30,08:00 - 08:30,29.3,29.8,28.3,51.0,0.0,5.4,160.0,14.0,1015.9,624.0
Girona,2026-06-25,08:30 - 09:00,08:30 - 09:00,30.5,31.2,29.8,45.0,0.0,6.1,165.0,16.2,1015.7,699.0
Girona,2026-06-25,09:00 - 09:30,09:00 - 09:30,32.3,33.6,31.2,39.0,0.0,6.5,179.0,15.5,1015.5,799.0
Girona,2026-06-25,09:30 - 10:00,09:30 - 10:00,33.5,34.5,32.8,35.0,0.0,8.3,196.0,18.7,1015.5,870.0
Girona,2026-06-25,10:00 - 10:30,10:00 - 10:30,34.1,34.5,33.5,30.0,0.0,9.4,187.0,19.8,1015.3,875.0
Girona,2026-06-25,10:30 - 11:00,10:30 - 11:00,34.6,35.0,33.9,29.0,0.0,10.8,187.0,25.2,1015.3,923.0
Girona,2026-06-25,11:00 - 11:30,11:00 - 11:30,35.2,35.9,34.7,28.0,0.0,11.5,178.0,25.6,1015.2,943.0
Girona,2026-06-25,11:30 - 12:00,11:30 - 12:00,35.1,35.3,34.9,30.0,0.0,11.9,171.0,26.6,1015.1,884.0
Girona,2026-06-25,12:00 - 12:30,12:00 - 12:30,35.2,35.6,35.0,30.0,0.0,11.2,187.0,28.1,1015.1,745.0
Girona,2026-06-25,12:30 - 13:00,12:30 - 13:00,34.7,35.8,33.7,29.0,0.0,13.7,170.0,29.5,1015.1,605.0
