station_name,date,period,period_utc,tm,tx,tn,hr,ppt,vvm,dvm,vvx,pm,rs
Girona,2026-07-09,00:00 - 00:30,00:00 - 00:30,18.3,18.5,18.0,70.0,0.0,1.4,275.0,4.7,1013.7,0.0
Girona,2026-07-09,00:30 - 01:00,00:30 - 01:00,17.8,18.0,17.5,71.0,0.0,0.0,270.0,2.2,1013.6,0.0
Girona,2026-07-09,01:00 - 01:30,01:00 - 01:30,17.4,17.7,17.2,74.0,0.0,1.1,316.0,3.6,1013.5,0.0
Girona,2026-07-09,01:30 - 02:00,01:30 - 02:00,17.2,17.4,17.0,73.0,0.0,2.9,296.0,6.5,1013.2,0.0
Girona,2026-07-09,02:00 - 02:30,02:00 - 02:30,16.8,17.1,16.6,74.0,0.0,0.7,313.0,2.9,1013.1,0.0
Girona,2026-07-09,02:30 - 03:00,02:30 - 03:00,16.3,16.6,16.2,78.0,0.0,1.8,293.0,4.7,1013.0,0.0
Girona,2026-07-09,03:00 - 03:30,03:00 - 03:30,16.0,16.2,15.8,77.0,0.0,1.4,309.0,4.0,1012.9,0.0
Girona,2026-07-09,03:30 - 04:00,03:30 - 04:00,15.6,15.8,15.4,79.0,0.0,1.4,278.0,4.3,1012.7,0.0
Girona,2026-07-09,04:00 - 04:30,04:00 - 04:30,15.3,15.4,15.1,80.0,0.0,0.7,325.0,3.2,1012.6,2.0
Girona,2026-07-09,04:30 - 05:00,04:30 - 05:00,15.5,15.8,15.3,80.0,0.0,0.0,291.0,2.9,1012.6,18.0
Girona,2026-07-09,05:00 - 05:30,05:00 - 05:30,16.9,18.2,15.9,76.0,0.0,0.0,196.0,1.4,1012.6,83.0
Girona,2026-07-09,05:30 - 06:00,05:30 - 06:00,20.1,21.4,18.3,63.0,0.0,0.0,196.0,1.1,1012.5,166.0
Girona,2026-07-09,06:00 - 06:30,06:00 - 06:30,23.1,24.8,21.4,50.0,0.0,0.7,24.0,2.9,1012.4,257.0
Girona,2026-07-09,06:30 - 07:00,06:30 - 07:00,27.0,28.5,25.0,35.0,0.0,0.7,24.0,2.9,1012.2,353.0
Girona,2026-07-09,07:00 - 07:30,07:00 - 07:30,29.0,30.6,28.0,33.0,0.0,0.7,208.0,2.9,1012.1,438.0
Girona,2026-07-09,07:30 - 08:00,07:30 - 08:00,30.8,31.2,30.4,30.0,0.0,1.4,229.0,5.0,1011.8,544.0
Girona,2026-07-09,08:00 - 08:30,08:00 - 08:30,32.8,34.6,31.2,27.0,0.0,2.2,232.0,5.8,1011.6,620.0
Girona,2026-07-09,08:30 - 09:00,08:30 - 09:00,35.4,36.0,34.6,23.0,0.0,2.2,348.0,5.8,1011.3,710.0
Girona,2026-07-09,09:00 - 09:30,09:00 - 09:30,36.8,37.5,35.8,19.0,0.0,3.2,41.0,9.0,1011.1,784.0
Girona,2026-07-09,09:30 - 10:00,09:30 - 10:00,38.1,38.7,37.3,17.0,0.0,4.7,117.0,14.0,1010.8,843.0
Girona,2026-07-09,10:00 - 10:30,10:00 - 10:30,38.7,39.1,38.3,16.0,0.0,5.0,122.0,13.3,1010.6,896.0
Girona,2026-07-09,10:30 - 11:00,10:30 - 11:00,39.1,39.5,38.8,14.0,0.0,5.0,137.0,10.8,1010.4,934.0
Girona,2026-07-09,11:00 - 11:30,11:00 - 11:30,39.3,39.8,38.6,14.0,0.0,3.6,41.0,9.0,1010.2,947.0
Girona,2026-07-09,11:30 - 12:00,11:30 - 12:00,39.4,40.1,38.7,16.0,0.0,8.3,188.0,26.3,1010.0,957.0
Girona,2026-07-09,12:00 - 12:30,12:00 - 12:30,38.4,39.0,37.9,19.0,0.0,13.7,179.0,32.8,1009.8,950.0
Girona,2026-07-09,12:30 - 13:00,12:30 - 13:00,38.1,38.5,37.7,20.0,0.0,13.0,186.0,29.2,1009.8,937.0
Girona,2026-07-09,13:00 - 13:30,13:00 - 13:30,37.9,38.4,37.4,20.0,0.0,14.4,181.0,29.5,1009.7,911.0
Girona,2026-07-09,13:30 - 14:00,13:30 - 14:00,38.1,38.6,37.6,19.0,0.0,11.5,177.0,28.4,1009.7,870.0
Girona,2026-07-09,14:00 - 14:30,14:00 - 14:30,37.7,37.9,37.4,19.0,0.0,10.8,183.0,22.3,1009.7,813.0
Girona,2026-07-09,14:30 - 15:00,14:30 - 15:00,37.3,37.8,37.1,19.0,0.0,11.9,189.0,26.3,1009.7,743.0
Girona,2026-07-09,15:00 - 15:30,15:00 - 15:30,37.1,37.5,36.7,19.0,0.0,11.5,185.0,24.1,1009.7,654.0
Girona,2026-07-09,15:30 - 16:00,15:30 - 16:00,37.3,37.8,36.7,19.0,0.0,10.1,192.0,21.6,1009.6,575.0
Girona,2026-07-09,16:00 - 16:30,16:00 - 16:30,36.2,36.9,35.7,20.0,0.0,10.8,208.0,23.8,1009.7,473.0
Girona,2026-07-09,16:30 - 17:00,16:30 - 17:00,35.5,35.8,35.0,20.0,0.0,10.4,186.0,20.5,1009.6,388.0
Girona,2026-07-09,17:00 - 17:30,17:00 - 17:30,34.8,35.1,34.6,21.0,0.0,10.8,171.0,25.6,1009.5,293.0
Girona,2026-07-09,17:30 - 18:00,17:30 - 18:00,34.4,34.6,34.1,21.0,0.0,9.4,194.0,25.6,1009.5,199.0
Girona,2026-07-09,18:00 - 18:30,18:00 - 18:30,33.5,34.1,33.1,23.0,0.0,9.0,175.0,21.2,1009.6,112.0
Girona,2026-07-09,18:30 - 19:00,18:30 - 19:00,32.7,33.0,32.2,23.0,0.0,7.9,169.0,19.1,1009.7,35.0
Girona,2026-07-09,19:00 - 19:30,19:00 - 19:30,31.8,32.2,30.8,25.0,0.0,4.7,173.0,13.7,1009.8,3.0
Girona,2026-07-09,19:30 - 20:00,19:30 - 20:00,28.4,30.6,27.2,35.0,0.0,2.2,239.0,6.5,1010.1,0.0
