station_name,date,period,period_utc,tm,tx,tn,hr,ppt,vvm,dvm,vvx,pm,rs
Girona,2026-03-03,00:00 - 00:30,00:00 - 00:30,8.3,8.5,8.1,100.0,0.0,0.7,290.0,3.2,1022.5,0.0
Girona,2026-03-03,00:30 - 01:00,00:30 - 01:00,8.6,8.9,8.5,99.0,0.0,2.5,274.0,4.7,1022.4,0.0
Girona,2026-03-03,01:00 - 01:30,01:00 - 01:30,9.0,9.1,8.9,98.0,0.0,3.2,260.0,5.4,1022.5,0.0
Girona,2026-03-03,01:30 - 02:00,01:30 - 02:00,8.9,9.0,8.8,96.0,0.0,2.2,266.0,7.6,1022.4,0.0
Girona,2026-03-03,02:00 - 02:30,02:00 - 02:30,9.1,9.3,8.8,97.0,0.0,0.0,0.0,0.0,1022.3,0.0
Girona,2026-03-03,02:30 - 03:00,02:30 - 03:00,9.5,9.6,9.3,96.0,0.0,0.0,257.0,1.8,1022.3,0.0
Girona,2026-03-03,03:00 - 03:30,03:00 - 03:30,9.7,9.8,9.6,94.0,0.0,1.4,287.0,4.7,1022.2,0.0
Girona,2026-03-03,03:30 - 04:00,03:30 - 04:00,9.8,10.0,9.7,94.0,0.0,1.4,354.0,5.4,1022.2,0.0
Girona,2026-03-03,04:00 - 04:30,04:00 - 04:30,10.1,10.2,10.1,93.0,0.0,2.5,253.0,5.8,1022.7,0.0
Girona,2026-03-03,04:30 - 05:00,04:30 - 05:00,10.1,10.1,10.0,94.0,0.0,1.8,350.0,6.1,1022.9,0.0
Girona,2026-03-03,05:00 - 05:30,05:00 - 05:30,10.1,10.2,10.0,93.0,0.0,1.4,291.0,4.3,1022.9,0.0
Girona,2026-03-03,05:30 - 06:00,05:30 - 06:00,9.9,10.0,9.8,94.0,0.0,0.7,297.0,4.3,1022.9,0.0
Girona,2026-03-03,06:00 - 06:30,06:00 - 06:30,9.8,9.9,9.7,95.0,0.0,1.1,290.0,3.6,1023.0,1.0
Girona,2026-03-03,06:30 - 07:00,06:30 - 07:00,10.1,10.2,9.9,94.0,0.0,2.2,289.0,4.7,1023.0,12.0
Girona,2026-03-03,07:00 - 07:30,07:00 - 07:30,10.9,11.3,10.2,89.0,0.0,2.5,357.0,6.5,1023.1,23.0
