station_name,date,period,period_utc,tm,tx,tn,hr,ppt,vvm,dvm,vvx,pm,rs
Girona,2026-07-22,00:00 - 00:30,00:00 - 00:30,24.0,24.4,23.4,55.0,0.0,3.2,356.0,9.4,1017.2,0.0
Girona,2026-07-22,00:30 - 01:00,00:30 - 01:00,24.1,25.0,23.2,51.0,0.0,4.0,4.0,11.5,1017.3,0.0
Girona,2026-07-22,01:00 - 01:30,01:00 - 01:30,24.4,25.1,22.9,47.0,0.0,2.5,340.0,9.0,1017.6,0.0
Girona,2026-07-22,01:30 - 02:00,01:30 - 02:00,22.0,22.8,21.2,58.0,0.0,2.5,332.0,5.8,1018.0,0.0
Girona,2026-07-22,02:00 - 02:30,02:00 - 02:30,20.7,21.2,20.2,66.0,0.0,1.1,272.0,3.2,1018.1,0.0
Girona,2026-07-22,02:30 - 03:00,02:30 - 03:00,19.9,20.1,19.4,71.0,0.0,1.1,270.0,2.9,1018.4,0.0
Girona,2026-07-22,03:00 - 03:30,03:00 - 03:30,19.1,19.4,18.8,75.0,0.0,1.8,262.0,3.6,1018.5,0.0
Girona,2026-07-22,03:30 - 04:00,03:30 - 04:00,18.4,18.7,18.2,76.0,0.0,2.2,271.0,3.6,1018.6,0.0
Girona,2026-07-22,04:00 - 04:30,04:00 - 04:30,18.0,18.2,17.6,79.0,0.0,0.4,280.0,1.4,1018.5,0.0
Girona,2026-07-22,04:30 - 05:00,04:30 - 05:00,17.6,17.6,17.5,80.0,0.0,0.7,277.0,3.2,1018.5,10.0
Girona,2026-07-22,05:00 - 05:30,05:00 - 05:30,18.3,19.0,17.7,78.0,0.0,1.4,278.0,4.0,1018.6,48.0
Girona,2026-07-22,05:30 - 06:00,05:30 - 06:00,20.0,20.8,19.1,71.0,0.0,1.1,266.0,3.6,1018.6,114.0
Girona,2026-07-22,06:00 - 06:30,06:00 - 06:30,21.9,22.8,20.9,62.0,0.0,1.1,247.0,3.2,1018.5,197.0
Girona,2026-07-22,06:30 - 07:00,06:30 - 07:00,24.3,26.2,22.9,54.0,0.0,1.8,248.0,5.0,1018.4,338.0
Girona,2026-07-22,07:00 - 07:30,07:00 - 07:30,26.4,26.7,26.2,43.0,0.0,3.2,24.0,8.3,1018.5,249.0
Girona,2026-07-22,07:30 - 08:00,07:30 - 08:00,26.6,27.2,26.3,42.0,0.0,4.0,37.0,11.2,1018.7,284.0
Girona,2026-07-22,08:00 - 08:30,08:00 - 08:30,27.7,28.4,27.0,39.0,0.0,6.1,19.0,15.5,1018.4,496.0
Girona,2026-07-22,08:30 - 09:00,08:30 - 09:00,28.5,29.1,27.8,36.0,0.0,6.5,36.0,13.3,1018.3,624.0
Girona,2026-07-22,09:00 - 09:30,09:00 - 09:30,29.7,30.5,29.3,33.0,0.0,5.0,29.0,13.7,1018.1,685.0
Girona,2026-07-22,09:30 - 10:00,09:30 - 10:00,30.3,30.8,29.8,31.0,0.0,5.4,10.0,13.0,1018.1,686.0
Girona,2026-07-22,10:00 - 10:30,10:00 - 10:30,31.4,31.9,30.8,30.0,0.0,5.4,12.0,12.2,1017.8,811.0
Girona,2026-07-22,10:30 - 11:00,10:30 - 11:00,32.0,32.7,31.5,31.0,0.0,6.1,357.0,14.0,1017.7,814.0
Girona,2026-07-22,11:00 - 11:30,11:00 - 11:30,32.9,33.9,32.2,30.0,0.0,6.5,355.0,15.5,1017.5,888.0
Girona,2026-07-22,11:30 - 12:00,11:30 - 12:00,32.8,33.5,32.4,29.0,0.0,7.2,26.0,15.8,1017.2,733.0
Girona,2026-07-22,12:00 - 12:30,12:00 - 12:30,33.5,33.9,32.9,29.0,0.0,9.4,34.0,25.6,1017.0,909.0
Girona,2026-07-22,12:30 - 13:00,12:30 - 13:00,33.4,34.6,32.8,28.0,0.0,10.8,43.0,25.2,1016.6,876.0
Girona,2026-07-22,13:00 - 13:30,13:00 - 13:30,33.9,35.2,33.1,26.0,0.0,9.0,79.0,23.8,1016.4,854.0
Girona,2026-07-22,13:30 - 14:00,13:30 - 14:00,34.3,35.1,33.9,25.0,0.0,10.8,129.0,23.8,1016.3,810.0
Girona,2026-07-22,14:00 - 14:30,14:00 - 14:30,34.3,34.7,33.8,26.0,0.0,10.1,168.0,24.1,1016.5,755.0
Girona,2026-07-22,14:30 - 15:00,14:30 - 15:00,33.8,34.2,33.4,25.0,0.0,10.4,173.0,23.8,1016.4,697.0
Girona,2026-07-22,15:00 - 15:30,15:00 - 15:30,33.6,33.9,33.1,25.0,0.0,7.6,182.0,20.2,1016.1,611.0
Girona,2026-07-22,15:30 - 16:00,15:30 - 16:00,32.7,33.5,32.0,26.0,0.0,6.8,182.0,15.8,1016.0,394.0
Girona,2026-07-22,16:00 - 16:30,16:00 - 16:30,33.0,33.3,32.4,25.0,0.0,6.5,204.0,16.2,1015.7,454.0
Girona,2026-07-22,16:30 - 17:00,16:30 - 17:00,31.8,32.2,31.5,28.0,0.0,9.7,213.0,20.2,1016.1,320.0
Girona,2026-07-22,17:00 - 17:30,17:00 - 17:30,31.0,32.0,30.4,28.0,0.0,9.7,185.0,22.0,1016.1,264.0
Girona,2026-07-22,17:30 - 18:00,17:30 - 18:00,30.0,30.4,29.6,28.0,0.0,9.7,172.0,23.0,1016.2,161.0
Girona,2026-07-22,18:00 - 18:30,18:00 - 18:30,29.3,29.6,28.9,28.0,0.0,9.7,217.0,22.0,1016.0,88.0
Girona,2026-07-22,18:30 - 19:00,18:30 - 19:00,28.4,28.9,27.8,29.0,0.0,6.1,240.0,14.4,1016.1,30.0
