station_name,date,period,period_utc,tm,tx,tn,hr,ppt
Fornells de la Selva,2026-03-05,00:00 - 00:30,00:00 - 00:30,12.8,12.9,12.8,85.0,0.0
Fornells de la Selva,2026-03-05,00:30 - 01:00,00:30 - 01:00,12.8,12.8,12.6,85.0,0.0
Fornells de la Selva,2026-03-05,01:00 - 01:30,01:00 - 01:30,12.8,12.9,12.7,84.0,0.0
Fornells de la Selva,2026-03-05,01:30 - 02:00,01:30 - 02:00,12.7,12.8,12.7,84.0,0.0
Fornells de la Selva,2026-03-05,02:00 - 02:30,02:00 - 02:30,12.7,12.7,12.6,85.0,0.0
Fornells de la Selva,2026-03-05,02:30 - 03:00,02:30 - 03:00,12.8,12.8,12.7,85.0,0.0
Fornells de la Selva,2026-03-05,03:00 - 03:30,03:00 - 03:30,12.7,12.7,12.6,86.0,0.0
Fornells de la Selva,2026-03-05,03:30 - 04:00,03:30 - 04:00,12.6,12.7,12.6,86.0,0.0
Fornells de la Selva,2026-03-05,04:00 - 04:30,04:00 - 04:30,12.8,12.9,12.7,86.0,0.0
Fornells de la Selva,2026-03-05,04:30 - 05:00,04:30 - 05:00,12.6,12.9,12.5,88.0,0.0
Fornells de la Selva,2026-03-05,05:00 - 05:30,05:00 - 05:30,12.3,12.5,12.2,91.0,0.0
Fornells de la Selva,2026-03-05,05:30 - 06:00,05:30 - 06:00,12.2,12.2,12.1,93.0,0.0
Fornells de la Selva,2026-03-05,06:00 - 06:30,06:00 - 06:30,12.3,12.4,12.2,93.0,0.0
Fornells de la Selva,2026-03-05,06:30 - 07:00,06:30 - 07:00,12.5,12.6,12.4,94.0,0.1
Fornells de la Selva,2026-03-05,07:00 - 07:30,07:00 - 07:30,12.7,12.7,12.6,94.0,0.0
Fornells de la Selva,2026-03-05,07:30 - 08:00,07:30 - 08:00,12.9,13.1,12.7,93.0,0.0
Fornells de la Selva,2026-03-05,08:00 - 08:30,08:00 - 08:30,12.9,13.0,12.9,92.0,0.0
Fornells de la Selva,2026-03-05,08:30 - 09:00,08:30 - 09:00,13.0,13.2,13.0,92.0,0.0
Fornells de la Selva,2026-03-05,09:00 - 09:30,09:00 - 09:30,13.3,13.4,13.2,90.0,0.0
Fornells de la Selva,2026-03-05,09:30 - 10:00,09:30 - 10:00,13.3,13.3,13.2,90.0,0.0
Fornells de la Selva,2026-03-05,10:00 - 10:30,10:00 - 10:30,13.3,13.5,13.2,90.0,0.0
Fornells de la Selva,2026-03-05,10:30 - 11:00,10:30 - 11:00,13.1,13.4,12.7,93.0,2.7
Fornells de la Selva,2026-03-05,11:00 - 11:30,11:00 - 11:30,12.7,12.9,12.7,96.0,0.7
Fornells de la Selva,2026-03-05,11:30 - 12:00,11:30 - 12:00,13.0,13.1,12.9,95.0,0.4
Fornells de la Selva,2026-03-05,12:00 - 12:30,12:00 - 12:30,13.2,13.5,13.1,94.0,0.5
Fornells de la Selva,2026-03-05,12:30 - 13:00,12:30 - 13:00,13.3,13.5,13.2,94.0,1.9
Fornells de la Selva,2026-03-05,13:00 - 13:30,13:00 - 13:30,13.5,13.7,13.3,94.0,0.8
Fornells de la Selva,2026-03-05,13:30 - 14:00,13:30 - 14:00,13.6,13.8,13.5,93.0,1.1
Fornells de la Selva,2026-03-05,14:00 - 14:30,14:00 - 14:30,13.8,14.1,13.6,93.0,0.6
Fornells de la Selva,2026-03-05,14:30 - 15:00,14:30 - 15:00,14.3,14.4,14.0,91.0,0.0
Fornells de la Selva,2026-03-05,15:00 - 15:30,15:00 - 15:30,14.3,14.4,14.3,92.0,0.0
Fornells de la Selva,2026-03-05,15:30 - 16:00,15:30 - 16:00,14.4,14.5,14.3,91.0,0.0
Fornells de la Selva,2026-03-05,16:00 - 16:30,16:00 - 16:30,14.1,14.4,14.0,91.0,0.0
Fornells de la Selva,2026-03-05,16:30 - 17:00,16:30 - 17:00,14.0,14.0,14.0,92.0,0.0
Fornells de la Selva,2026-03-05,17:00 - 17:30,17:00 - 17:30,14.0,14.0,13.9,90.0,0.0
Fornells de la Selva,2026-03-05,17:30 - 18:00,17:30 - 18:00,13.9,14.0,13.9,91.0,0.0
Fornells de la Selva,2026-03-05,18:00 - 18:30,18:00 - 18:30,13.9,13.9,13.7,91.0,0.0
Fornells de la Selva,2026-03-05,18:30 - 19:00,18:30 - 19:00,13.6,13.7,13.4,93.0,0.9
Fornells de la Selva,2026-03-05,19:00 - 19:30,19:00 - 19:30,13.4,13.5,13.2,93.0,0.0
Fornells de la Selva,2026-03-05,19:30 - 20:00,19:30 - 20:00,13.3,13.3,13.2,92.0,0.2
Fornells de la Selva,2026-03-05,20:00 - 20:30,20:00 - 20:30,13.3,13.4,13.1,90.0,0.5
Fornells de la Selva,2026-03-05,20:30 - 21:00,20:30 - 21:00,13.0,13.1,13.0,92.0,0.6
Fornells de la Selva,2026-03-05,21:00 - 21:30,21:00 - 21:30,13.1,13.4,13.0,90.0,0.1
Fornells de la Selva,2026-03-05,21:30 - 22:00,21:30 - 22:00,13.4,13.5,13.3,89.0,0.0
