station_name,date,period,period_utc,tm,tx,tn,hr,ppt,vvm,dvm,vvx,pm,rs
Girona,2026-01-31,00:00 - 00:30,00:00 - 00:30,10.8,11.1,10.6,62.0,0.0,5.8,209.0,10.1,995.6,0.0
Girona,2026-01-31,00:30 - 01:00,00:30 - 01:00,10.5,10.8,10.1,63.0,0.0,4.3,168.0,9.0,995.3,0.0
Girona,2026-01-31,01:00 - 01:30,01:00 - 01:30,10.5,10.7,10.1,63.0,0.0,4.7,130.0,7.9,995.0,0.0
Girona,2026-01-31,01:30 - 02:00,01:30 - 02:00,10.0,11.0,9.3,68.0,0.0,1.8,318.0,7.9,994.8,0.0
Girona,2026-01-31,02:00 - 02:30,02:00 - 02:30,9.5,9.7,9.2,72.0,0.0,4.3,40.0,13.7,994.9,0.0
Girona,2026-01-31,02:30 - 03:00,02:30 - 03:00,9.1,9.7,8.6,73.0,0.0,1.1,300.0,2.9,994.8,0.0
Girona,2026-01-31,03:00 - 03:30,03:00 - 03:30,8.3,8.6,8.0,78.0,0.0,1.1,281.0,5.0,994.8,0.0
Girona,2026-01-31,03:30 - 04:00,03:30 - 04:00,7.7,8.0,7.5,83.0,0.0,1.4,303.0,4.0,994.9,0.0
Girona,2026-01-31,04:00 - 04:30,04:00 - 04:30,7.3,7.5,7.3,87.0,0.0,2.2,11.0,5.4,995.5,0.0
Girona,2026-01-31,04:30 - 05:00,04:30 - 05:00,7.8,9.4,7.3,83.0,0.0,4.7,24.0,29.9,995.7,0.0
Girona,2026-01-31,05:00 - 05:30,05:00 - 05:30,10.3,10.7,9.7,58.0,0.0,15.1,15.0,46.1,996.0,0.0
Girona,2026-01-31,05:30 - 06:00,05:30 - 06:00,9.8,9.9,9.7,58.0,0.0,9.4,13.0,26.6,996.3,0.0
Girona,2026-01-31,06:00 - 06:30,06:00 - 06:30,9.5,9.9,9.0,58.0,0.0,10.4,31.0,22.3,996.9,0.0
Girona,2026-01-31,06:30 - 07:00,06:30 - 07:00,8.6,8.9,8.3,64.0,0.0,9.4,30.0,24.8,997.8,0.0
Girona,2026-01-31,07:00 - 07:30,07:00 - 07:30,8.4,8.5,8.3,65.0,0.0,8.6,40.0,18.7,998.7,6.0
