station_name,date,period,period_utc,tm,tx,tn,hr,ppt,vvm,dvm,vvx,pm,rs
Girona,2026-03-22,00:00 - 00:30,00:00 - 00:30,4.2,4.7,3.9,98.0,0.0,3.2,269.0,6.1,1011.8,0.0
Girona,2026-03-22,00:30 - 01:00,00:30 - 01:00,4.1,4.3,3.8,99.0,0.0,5.0,249.0,7.6,1011.7,0.0
Girona,2026-03-22,01:00 - 01:30,01:00 - 01:30,3.7,4.3,3.3,98.0,0.0,2.5,263.0,5.8,1011.5,0.0
Girona,2026-03-22,01:30 - 02:00,01:30 - 02:00,3.1,3.3,2.8,100.0,0.0,1.8,280.0,4.0,1011.4,0.0
Girona,2026-03-22,02:00 - 02:30,02:00 - 02:30,2.5,2.8,2.4,100.0,0.0,0.0,302.0,1.1,1011.4,0.0
Girona,2026-03-22,02:30 - 03:00,02:30 - 03:00,2.1,2.4,2.0,100.0,0.0,0.4,301.0,2.2,1011.2,0.0
Girona,2026-03-22,03:00 - 03:30,03:00 - 03:30,1.9,2.2,1.8,100.0,0.0,2.2,262.0,4.3,1011.1,0.0
Girona,2026-03-22,03:30 - 04:00,03:30 - 04:00,1.8,1.9,1.8,100.0,0.0,1.4,306.0,3.6,1011.1,0.0
Girona,2026-03-22,04:00 - 04:30,04:00 - 04:30,1.6,1.8,1.4,100.0,0.0,2.2,277.0,4.0,1011.1,0.0
Girona,2026-03-22,04:30 - 05:00,04:30 - 05:00,1.5,1.8,1.3,100.0,0.0,2.2,275.0,5.4,1011.2,0.0
Girona,2026-03-22,05:00 - 05:30,05:00 - 05:30,1.4,1.6,1.3,100.0,0.0,0.4,280.0,1.8,1011.3,0.0
Girona,2026-03-22,05:30 - 06:00,05:30 - 06:00,1.7,2.1,1.4,100.0,0.0,1.8,269.0,5.4,1011.4,2.0
Girona,2026-03-22,06:00 - 06:30,06:00 - 06:30,2.6,3.1,2.1,100.0,0.0,2.5,273.0,4.7,1011.7,27.0
Girona,2026-03-22,06:30 - 07:00,06:30 - 07:00,3.4,3.7,3.1,100.0,0.0,2.2,273.0,4.3,1011.6,58.0
