station_name,date,period,period_utc,tm,tx,tn,hr,ppt,vvm,dvm,vvx,pm,rs
Girona,2026-02-08,00:00 - 00:30,00:00 - 00:30,9.8,10.5,8.8,58.0,0.0,7.6,215.0,15.8,1004.0,0.0
Girona,2026-02-08,00:30 - 01:00,00:30 - 01:00,10.1,10.5,9.2,58.0,0.0,4.3,240.0,13.0,1003.6,0.0
Girona,2026-02-08,01:00 - 01:30,01:00 - 01:30,8.4,9.1,7.5,71.0,0.0,2.5,4.0,7.6,1003.3,0.0
Girona,2026-02-08,01:30 - 02:00,01:30 - 02:00,7.0,7.4,6.7,76.0,0.0,1.4,343.0,4.3,1002.9,0.0
Girona,2026-02-08,02:00 - 02:30,02:00 - 02:30,6.9,7.0,6.8,79.0,0.0,1.1,182.0,4.0,1002.5,0.0
Girona,2026-02-08,02:30 - 03:00,02:30 - 03:00,7.1,7.9,6.7,80.0,0.0,2.2,178.0,6.8,1001.9,0.0
Girona,2026-02-08,03:00 - 03:30,03:00 - 03:30,8.6,8.8,8.1,74.0,0.1,5.8,171.0,10.4,1001.5,0.0
Girona,2026-02-08,03:30 - 04:00,03:30 - 04:00,8.2,8.6,7.7,80.0,0.1,3.6,158.0,9.0,1000.6,0.0
Girona,2026-02-08,04:00 - 04:30,04:00 - 04:30,7.4,7.7,7.2,86.0,0.0,3.2,221.0,8.6,1000.4,0.0
Girona,2026-02-08,04:30 - 05:00,04:30 - 05:00,7.4,7.6,7.2,87.0,0.0,4.3,160.0,10.4,1000.3,0.0
Girona,2026-02-08,05:00 - 05:30,05:00 - 05:30,6.7,7.1,6.4,90.0,0.0,1.1,139.0,6.1,1000.5,0.0
Girona,2026-02-08,05:30 - 06:00,05:30 - 06:00,6.5,7.2,6.2,92.0,0.0,5.4,176.0,11.9,1000.3,0.0
Girona,2026-02-08,06:00 - 06:30,06:00 - 06:30,6.5,7.4,5.5,92.0,0.0,4.3,268.0,10.8,1000.3,0.0
Girona,2026-02-08,06:30 - 07:00,06:30 - 07:00,5.1,5.5,4.6,96.0,0.0,2.5,155.0,7.2,1000.7,0.0
Girona,2026-02-08,07:00 - 07:30,07:00 - 07:30,4.4,5.0,4.2,99.0,0.0,3.2,288.0,5.4,1000.8,17.0
Girona,2026-02-08,07:30 - 08:00,07:30 - 08:00,5.7,7.4,4.5,98.0,0.0,2.5,5.0,6.1,1001.1,115.0
Girona,2026-02-08,08:00 - 08:30,08:00 - 08:30,8.6,9.2,7.6,82.0,0.0,0.4,118.0,2.9,1001.1,183.0
Girona,2026-02-08,08:30 - 09:00,08:30 - 09:00,9.7,10.4,8.8,74.0,0.2,2.5,146.0,6.8,1001.0,238.0
Girona,2026-02-08,09:00 - 09:30,09:00 - 09:30,10.7,11.0,10.0,67.0,0.0,2.2,202.0,6.5,1001.2,318.0
Girona,2026-02-08,09:30 - 10:00,09:30 - 10:00,12.2,12.9,11.1,62.0,0.0,1.8,66.0,8.3,1001.3,429.0
Girona,2026-02-08,10:00 - 10:30,10:00 - 10:30,12.8,13.1,12.6,58.0,0.0,7.6,18.0,18.4,1001.3,444.0
Girona,2026-02-08,10:30 - 11:00,10:30 - 11:00,13.4,14.3,13.0,56.0,0.0,9.4,33.0,20.2,1001.3,492.0
Girona,2026-02-08,11:00 - 11:30,11:00 - 11:30,14.5,14.9,14.1,49.0,0.0,12.2,27.0,32.4,1001.1,546.0
Girona,2026-02-08,11:30 - 12:00,11:30 - 12:00,14.8,15.1,14.6,48.0,0.0,14.0,33.0,30.2,1001.2,581.0
Girona,2026-02-08,12:00 - 12:30,12:00 - 12:30,15.4,15.7,15.1,48.0,0.0,14.0,32.0,28.4,1001.2,581.0
Girona,2026-02-08,12:30 - 13:00,12:30 - 13:00,15.7,16.0,15.3,48.0,0.0,13.7,34.0,34.2,1001.2,567.0
Girona,2026-02-08,13:00 - 13:30,13:00 - 13:30,15.0,15.2,14.7,51.0,0.0,18.0,40.0,35.6,1001.3,566.0
Girona,2026-02-08,13:30 - 14:00,13:30 - 14:00,15.0,15.2,14.7,50.0,0.0,15.1,37.0,34.2,1001.3,527.0
Girona,2026-02-08,14:00 - 14:30,14:00 - 14:30,13.9,14.8,13.4,54.0,0.0,14.8,42.0,31.3,1001.7,270.0
Girona,2026-02-08,14:30 - 15:00,14:30 - 15:00,13.1,13.5,12.8,56.0,0.0,15.1,39.0,31.0,1002.1,112.0
Girona,2026-02-08,15:00 - 15:30,15:00 - 15:30,12.5,12.7,12.4,59.0,0.0,15.8,34.0,34.2,1002.8,81.0
Girona,2026-02-08,15:30 - 16:00,15:30 - 16:00,12.1,12.3,11.7,60.0,0.0,16.6,35.0,37.4,1003.6,61.0
Girona,2026-02-08,16:00 - 16:30,16:00 - 16:30,11.5,11.7,11.4,62.0,0.0,14.8,32.0,32.8,1003.9,46.0
Girona,2026-02-08,16:30 - 17:00,16:30 - 17:00,11.5,11.6,11.5,62.0,0.0,11.2,29.0,34.6,1004.6,21.0
Girona,2026-02-08,17:00 - 17:30,17:00 - 17:30,11.5,11.6,11.3,62.0,0.0,11.5,26.0,28.4,1005.1,2.0
Girona,2026-02-08,17:30 - 18:00,17:30 - 18:00,11.2,11.3,10.9,65.0,0.0,8.3,34.0,19.8,1005.6,0.0
Girona,2026-02-08,18:00 - 18:30,18:00 - 18:30,10.7,10.9,10.4,69.0,0.0,6.8,30.0,19.1,1006.2,0.0
Girona,2026-02-08,18:30 - 19:00,18:30 - 19:00,10.3,10.4,10.2,71.0,0.0,5.4,15.0,12.6,1006.9,0.0
Girona,2026-02-08,19:00 - 19:30,19:00 - 19:30,10.1,10.2,10.1,72.0,0.0,4.0,30.0,10.8,1007.3,0.0
Girona,2026-02-08,19:30 - 20:00,19:30 - 20:00,10.0,10.1,9.9,73.0,0.1,2.9,358.0,9.7,1007.6,0.0
Girona,2026-02-08,20:00 - 20:30,20:00 - 20:30,9.4,9.8,9.0,81.0,0.0,0.4,346.0,3.6,1007.8,0.0
Girona,2026-02-08,20:30 - 21:00,20:30 - 21:00,8.9,9.0,8.8,86.0,0.0,0.4,348.0,2.5,1008.0,0.0
