station_name,date,period,period_utc,tm,tx,tn,hr,ppt
Fornells de la Selva,2026-08-25,00:00 - 00:30,00:00 - 00:30,19.8,20.2,19.3,87.0,0.0
Fornells de la Selva,2026-08-25,00:30 - 01:00,00:30 - 01:00,18.8,19.3,18.3,93.0,0.0
Fornells de la Selva,2026-08-25,01:00 - 01:30,01:00 - 01:30,18.2,18.3,18.0,96.0,0.0
Fornells de la Selva,2026-08-25,01:30 - 02:00,01:30 - 02:00,17.9,18.0,17.8,96.0,0.0
Fornells de la Selva,2026-08-25,02:00 - 02:30,02:00 - 02:30,17.6,17.8,17.3,97.0,0.0
Fornells de la Selva,2026-08-25,02:30 - 03:00,02:30 - 03:00,17.3,17.5,17.2,97.0,0.0
Fornells de la Selva,2026-08-25,03:00 - 03:30,03:00 - 03:30,17.1,17.2,16.8,98.0,0.0
Fornells de la Selva,2026-08-25,03:30 - 04:00,03:30 - 04:00,16.8,16.9,16.7,98.0,0.0
Fornells de la Selva,2026-08-25,04:00 - 04:30,04:00 - 04:30,16.7,16.9,16.6,98.0,0.0
Fornells de la Selva,2026-08-25,04:30 - 05:00,04:30 - 05:00,16.9,16.9,16.9,98.0,0.0
Fornells de la Selva,2026-08-25,05:00 - 05:30,05:00 - 05:30,16.9,16.9,16.8,98.0,0.0
Fornells de la Selva,2026-08-25,05:30 - 06:00,05:30 - 06:00,17.1,17.3,16.8,98.0,0.0
Fornells de la Selva,2026-08-25,06:00 - 06:30,06:00 - 06:30,17.8,18.2,17.3,98.0,0.0
Fornells de la Selva,2026-08-25,06:30 - 07:00,06:30 - 07:00,18.9,20.3,18.2,96.0,0.0
Fornells de la Selva,2026-08-25,07:00 - 07:30,07:00 - 07:30,21.0,21.6,20.4,88.0,0.0
Fornells de la Selva,2026-08-25,07:30 - 08:00,07:30 - 08:00,21.8,23.1,21.3,84.0,0.0
