station_name,date,period,period_utc,tm,tx,tn,hr,ppt
Fornells de la Selva,2026-05-06,00:00 - 00:30,00:00 - 00:30,9.2,10.1,8.5,96.0,0.0
Fornells de la Selva,2026-05-06,00:30 - 01:00,00:30 - 01:00,8.4,8.9,8.0,97.0,0.0
Fornells de la Selva,2026-05-06,01:00 - 01:30,01:00 - 01:30,8.2,8.5,7.9,97.0,0.0
Fornells de la Selva,2026-05-06,01:30 - 02:00,01:30 - 02:00,7.4,7.8,7.1,97.0,0.0
Fornells de la Selva,2026-05-06,02:00 - 02:30,02:00 - 02:30,7.0,7.4,6.6,97.0,0.0
Fornells de la Selva,2026-05-06,02:30 - 03:00,02:30 - 03:00,6.5,6.9,6.0,97.0,0.0
Fornells de la Selva,2026-05-06,03:00 - 03:30,03:00 - 03:30,6.3,6.8,5.6,97.0,0.0
Fornells de la Selva,2026-05-06,03:30 - 04:00,03:30 - 04:00,5.8,6.2,5.3,97.0,0.0
Fornells de la Selva,2026-05-06,04:00 - 04:30,04:00 - 04:30,5.8,6.0,5.4,98.0,0.0
Fornells de la Selva,2026-05-06,04:30 - 05:00,04:30 - 05:00,5.6,6.4,5.2,98.0,0.0
Fornells de la Selva,2026-05-06,05:00 - 05:30,05:00 - 05:30,6.6,7.3,6.2,98.0,0.0
Fornells de la Selva,2026-05-06,05:30 - 06:00,05:30 - 06:00,8.3,9.7,7.3,98.0,0.0
Fornells de la Selva,2026-05-06,06:00 - 06:30,06:00 - 06:30,9.8,10.6,9.3,98.0,0.0
Fornells de la Selva,2026-05-06,06:30 - 07:00,06:30 - 07:00,12.0,13.4,10.6,91.0,0.0
