station_name,date,period,period_utc,tm,tx,tn,hr,ppt,vvm,dvm,vvx,pm,rs
Girona,2026-06-05,00:00 - 00:30,00:00 - 00:30,14.7,14.7,14.5,100.0,0.0,3.6,274.0,7.9,1016.0,0.0
Girona,2026-06-05,00:30 - 01:00,00:30 - 01:00,14.7,14.7,14.6,100.0,0.0,2.9,279.0,9.0,1016.0,0.0
Girona,2026-06-05,01:00 - 01:30,01:00 - 01:30,14.6,14.7,14.5,100.0,0.0,3.2,1.0,8.3,1015.8,0.0
Girona,2026-06-05,01:30 - 02:00,01:30 - 02:00,14.7,14.8,14.6,100.0,0.0,3.6,273.0,8.3,1015.9,0.0
Girona,2026-06-05,02:00 - 02:30,02:00 - 02:30,14.6,14.7,14.4,100.0,0.0,0.7,281.0,4.0,1016.0,0.0
Girona,2026-06-05,02:30 - 03:00,02:30 - 03:00,14.4,14.5,14.2,100.0,0.0,1.4,345.0,3.6,1016.0,0.0
