station_name,date,period,period_utc,tm,tx,tn,hr,ppt,vvm,dvm,vvx,pm,rs
Girona,2026-06-23,00:00 - 00:30,00:00 - 00:30,20.7,21.0,20.2,83.0,0.0,1.4,289.0,4.0,1018.8,0.0
Girona,2026-06-23,00:30 - 01:00,00:30 - 01:00,20.2,20.2,20.0,87.0,0.0,2.5,287.0,5.0,1018.6,0.0
Girona,2026-06-23,01:00 - 01:30,01:00 - 01:30,19.6,20.0,19.4,89.0,0.0,1.1,75.0,3.2,1018.6,0.0
Girona,2026-06-23,01:30 - 02:00,01:30 - 02:00,19.5,19.7,19.2,91.0,0.0,1.4,303.0,3.6,1018.5,0.0
Girona,2026-06-23,02:00 - 02:30,02:00 - 02:30,19.0,19.2,18.9,93.0,0.0,0.7,280.0,3.6,1018.6,0.0
Girona,2026-06-23,02:30 - 03:00,02:30 - 03:00,18.6,18.9,18.3,94.0,0.0,1.1,275.0,2.9,1018.5,0.0
Girona,2026-06-23,03:00 - 03:30,03:00 - 03:30,18.2,18.3,18.0,97.0,0.0,0.7,275.0,3.2,1018.4,0.0
Girona,2026-06-23,03:30 - 04:00,03:30 - 04:00,17.9,18.0,17.7,98.0,0.0,0.4,275.0,1.8,1018.5,0.0
Girona,2026-06-23,04:00 - 04:30,04:00 - 04:30,17.5,17.7,17.3,99.0,0.0,1.1,275.0,4.0,1018.6,4.0
Girona,2026-06-23,04:30 - 05:00,04:30 - 05:00,17.4,17.8,17.2,99.0,0.0,0.4,275.0,1.8,1018.8,26.0
Girona,2026-06-23,05:00 - 05:30,05:00 - 05:30,18.9,20.2,17.8,94.0,0.0,0.7,275.0,2.2,1018.7,103.0
Girona,2026-06-23,05:30 - 06:00,05:30 - 06:00,21.9,23.0,20.3,78.0,0.0,0.4,275.0,1.8,1018.4,180.0
