station_name,date,period,period_utc,tm,tx,tn,hr,ppt
Fornells de la Selva,2026-08-20,00:00 - 00:30,00:00 - 00:30,25.1,25.7,24.7,94.0,0.0
Fornells de la Selva,2026-08-20,00:30 - 01:00,00:30 - 01:00,25.8,25.9,25.6,91.0,0.0
Fornells de la Selva,2026-08-20,01:00 - 01:30,01:00 - 01:30,25.3,25.7,25.0,92.0,0.0
Fornells de la Selva,2026-08-20,01:30 - 02:00,01:30 - 02:00,24.9,25.9,24.6,90.0,0.0
Fornells de la Selva,2026-08-20,02:00 - 02:30,02:00 - 02:30,24.6,25.6,23.7,85.0,0.0
Fornells de la Selva,2026-08-20,02:30 - 03:00,02:30 - 03:00,23.3,23.7,23.1,90.0,0.0
Fornells de la Selva,2026-08-20,03:00 - 03:30,03:00 - 03:30,22.9,23.2,22.7,92.0,0.0
Fornells de la Selva,2026-08-20,03:30 - 04:00,03:30 - 04:00,22.7,22.8,22.6,91.0,0.0
Fornells de la Selva,2026-08-20,04:00 - 04:30,04:00 - 04:30,22.5,22.9,22.2,88.0,0.0
Fornells de la Selva,2026-08-20,04:30 - 05:00,04:30 - 05:00,21.8,22.2,21.5,90.0,0.0
Fornells de la Selva,2026-08-20,05:00 - 05:30,05:00 - 05:30,21.5,21.8,21.2,90.0,0.0
Fornells de la Selva,2026-08-20,05:30 - 06:00,05:30 - 06:00,22.3,22.7,21.8,88.0,0.0
Fornells de la Selva,2026-08-20,06:00 - 06:30,06:00 - 06:30,22.9,23.0,22.7,88.0,0.0
Fornells de la Selva,2026-08-20,06:30 - 07:00,06:30 - 07:00,23.4,23.8,23.0,86.0,0.0
Fornells de la Selva,2026-08-20,07:00 - 07:30,07:00 - 07:30,23.9,24.1,23.8,83.0,0.0
Fornells de la Selva,2026-08-20,07:30 - 08:00,07:30 - 08:00,24.3,24.4,24.1,82.0,0.0
Fornells de la Selva,2026-08-20,08:00 - 08:30,08:00 - 08:30,24.8,25.0,24.5,78.0,0.0
