station_name,date,period,period_utc,tm,tx,tn,hr,ppt,vvm,dvm,vvx,pm,rs
Girona,2026-06-20,00:00 - 00:30,00:00 - 00:30,16.2,16.6,16.0,85.0,0.0,0.4,294.0,1.8,1019.6,0.0
Girona,2026-06-20,00:30 - 01:00,00:30 - 01:00,15.9,16.0,15.7,86.0,0.0,0.7,302.0,4.7,1019.5,0.0
Girona,2026-06-20,01:00 - 01:30,01:00 - 01:30,15.3,15.6,15.1,88.0,0.0,0.0,303.0,1.4,1019.4,0.0
Girona,2026-06-20,01:30 - 02:00,01:30 - 02:00,14.9,15.1,14.7,90.0,0.0,0.0,303.0,1.1,1019.3,0.0
Girona,2026-06-20,02:00 - 02:30,02:00 - 02:30,14.4,14.6,14.3,93.0,0.0,0.7,262.0,2.9,1019.2,0.0
Girona,2026-06-20,02:30 - 03:00,02:30 - 03:00,14.2,14.5,13.9,93.0,0.0,0.4,318.0,3.2,1019.3,0.0
Girona,2026-06-20,03:00 - 03:30,03:00 - 03:30,14.0,14.0,13.9,95.0,0.0,0.4,328.0,1.8,1019.3,0.0
Girona,2026-06-20,03:30 - 04:00,03:30 - 04:00,13.7,13.9,13.6,96.0,0.0,0.4,328.0,2.2,1019.5,0.0
Girona,2026-06-20,04:00 - 04:30,04:00 - 04:30,13.5,13.6,13.4,96.0,0.0,0.7,328.0,3.6,1019.8,5.0
Girona,2026-06-20,04:30 - 05:00,04:30 - 05:00,13.8,14.1,13.5,95.0,0.0,0.0,0.0,0.0,1020.1,30.0
Girona,2026-06-20,05:00 - 05:30,05:00 - 05:30,15.4,16.5,14.1,85.0,0.0,1.4,273.0,5.4,1020.2,94.0
Girona,2026-06-20,05:30 - 06:00,05:30 - 06:00,17.9,18.9,16.6,71.0,0.0,0.7,270.0,3.6,1020.3,178.0
Girona,2026-06-20,06:00 - 06:30,06:00 - 06:30,19.9,21.3,19.0,61.0,0.0,1.8,327.0,5.4,1020.4,276.0
Girona,2026-06-20,06:30 - 07:00,06:30 - 07:00,23.3,24.8,21.4,50.0,0.0,1.4,18.0,4.0,1020.5,377.0
Girona,2026-06-20,07:00 - 07:30,07:00 - 07:30,25.5,26.6,24.7,46.0,0.0,2.2,13.0,5.0,1020.5,476.0
