station_name,date,period,period_utc,tm,tx,tn,hr,ppt
Fornells de la Selva,2026-08-14,00:00 - 00:30,00:00 - 00:30,21.2,21.4,20.9,85.0,0.0
Fornells de la Selva,2026-08-14,00:30 - 01:00,00:30 - 01:00,20.8,21.2,20.4,87.0,0.0
Fornells de la Selva,2026-08-14,01:00 - 01:30,01:00 - 01:30,20.7,21.4,20.2,86.0,0.0
Fornells de la Selva,2026-08-14,01:30 - 02:00,01:30 - 02:00,20.2,20.3,20.0,89.0,0.0
Fornells de la Selva,2026-08-14,02:00 - 02:30,02:00 - 02:30,20.0,20.2,19.8,89.0,0.0
Fornells de la Selva,2026-08-14,02:30 - 03:00,02:30 - 03:00,19.7,19.9,19.6,90.0,0.0
Fornells de la Selva,2026-08-14,03:00 - 03:30,03:00 - 03:30,19.3,19.6,19.1,91.0,0.0
Fornells de la Selva,2026-08-14,03:30 - 04:00,03:30 - 04:00,18.9,19.2,18.7,90.0,0.0
Fornells de la Selva,2026-08-14,04:00 - 04:30,04:00 - 04:30,18.8,18.9,18.5,89.0,0.0
Fornells de la Selva,2026-08-14,04:30 - 05:00,04:30 - 05:00,18.6,18.9,18.2,89.0,0.0
Fornells de la Selva,2026-08-14,05:00 - 05:30,05:00 - 05:30,18.4,18.5,18.2,90.0,0.0
Fornells de la Selva,2026-08-14,05:30 - 06:00,05:30 - 06:00,19.5,20.9,18.5,84.0,0.0
Fornells de la Selva,2026-08-14,06:00 - 06:30,06:00 - 06:30,22.0,22.7,21.1,76.0,0.0
Fornells de la Selva,2026-08-14,06:30 - 07:00,06:30 - 07:00,24.1,25.0,22.7,66.0,0.0
Fornells de la Selva,2026-08-14,07:00 - 07:30,07:00 - 07:30,26.1,27.6,25.0,59.0,0.0
Fornells de la Selva,2026-08-14,07:30 - 08:00,07:30 - 08:00,28.8,29.5,27.7,48.0,0.0
Fornells de la Selva,2026-08-14,08:00 - 08:30,08:00 - 08:30,30.5,31.4,29.4,45.0,0.0
Fornells de la Selva,2026-08-14,08:30 - 09:00,08:30 - 09:00,32.8,33.9,31.4,36.0,0.0
Fornells de la Selva,2026-08-14,09:00 - 09:30,09:00 - 09:30,34.7,35.4,33.2,32.0,0.0
Fornells de la Selva,2026-08-14,09:30 - 10:00,09:30 - 10:00,36.2,37.2,35.5,28.0,0.0
Fornells de la Selva,2026-08-14,10:00 - 10:30,10:00 - 10:30,37.0,37.6,36.4,26.0,0.0
