station_name,date,period,period_utc,tm,tx,tn,hr,ppt
Fornells de la Selva,2026-06-16,00:00 - 00:30,00:00 - 00:30,14.2,14.4,14.0,84.0,0.0
Fornells de la Selva,2026-06-16,00:30 - 01:00,00:30 - 01:00,13.7,14.1,13.5,85.0,0.0
Fornells de la Selva,2026-06-16,01:00 - 01:30,01:00 - 01:30,13.3,13.6,13.0,87.0,0.0
Fornells de la Selva,2026-06-16,01:30 - 02:00,01:30 - 02:00,13.4,14.3,12.9,87.0,0.0
Fornells de la Selva,2026-06-16,02:00 - 02:30,02:00 - 02:30,12.8,13.4,12.5,89.0,0.0
Fornells de la Selva,2026-06-16,02:30 - 03:00,02:30 - 03:00,12.7,13.0,12.4,89.0,0.0
Fornells de la Selva,2026-06-16,03:00 - 03:30,03:00 - 03:30,12.5,12.7,12.3,90.0,0.0
Fornells de la Selva,2026-06-16,03:30 - 04:00,03:30 - 04:00,12.1,12.4,11.9,92.0,0.0
Fornells de la Selva,2026-06-16,04:00 - 04:30,04:00 - 04:30,11.8,11.9,11.7,92.0,0.0
Fornells de la Selva,2026-06-16,04:30 - 05:00,04:30 - 05:00,12.1,13.3,11.7,92.0,0.0
Fornells de la Selva,2026-06-16,05:00 - 05:30,05:00 - 05:30,14.5,15.4,13.4,86.0,0.0
Fornells de la Selva,2026-06-16,05:30 - 06:00,05:30 - 06:00,17.7,19.5,15.4,74.0,0.0
Fornells de la Selva,2026-06-16,06:00 - 06:30,06:00 - 06:30,20.1,21.5,19.4,65.0,0.0
Fornells de la Selva,2026-06-16,06:30 - 07:00,06:30 - 07:00,22.6,23.6,21.6,55.0,0.0
Fornells de la Selva,2026-06-16,07:00 - 07:30,07:00 - 07:30,25.0,26.3,23.7,49.0,0.0
Fornells de la Selva,2026-06-16,07:30 - 08:00,07:30 - 08:00,27.8,29.2,26.3,41.0,0.0
Fornells de la Selva,2026-06-16,08:00 - 08:30,08:00 - 08:30,29.9,30.5,29.1,31.0,0.0
Fornells de la Selva,2026-06-16,08:30 - 09:00,08:30 - 09:00,30.7,31.8,30.1,28.0,0.0
Fornells de la Selva,2026-06-16,09:00 - 09:30,09:00 - 09:30,31.9,32.6,31.4,23.0,0.0
Fornells de la Selva,2026-06-16,09:30 - 10:00,09:30 - 10:00,32.8,33.5,32.1,24.0,0.0
Fornells de la Selva,2026-06-16,10:00 - 10:30,10:00 - 10:30,33.1,34.0,32.2,21.0,0.0
Fornells de la Selva,2026-06-16,10:30 - 11:00,10:30 - 11:00,33.9,34.6,32.9,20.0,0.0
Fornells de la Selva,2026-06-16,11:00 - 11:30,11:00 - 11:30,34.2,34.6,33.9,22.0,0.0
Fornells de la Selva,2026-06-16,11:30 - 12:00,11:30 - 12:00,33.7,34.6,33.2,23.0,0.0
Fornells de la Selva,2026-06-16,12:00 - 12:30,12:00 - 12:30,33.6,34.2,33.2,24.0,0.0
Fornells de la Selva,2026-06-16,12:30 - 13:00,12:30 - 13:00,32.6,33.2,31.7,28.0,0.0
Fornells de la Selva,2026-06-16,13:00 - 13:30,13:00 - 13:30,32.2,32.6,31.8,29.0,0.0
Fornells de la Selva,2026-06-16,13:30 - 14:00,13:30 - 14:00,31.9,32.2,31.4,30.0,0.0
Fornells de la Selva,2026-06-16,14:00 - 14:30,14:00 - 14:30,31.9,32.5,31.5,29.0,0.0
Fornells de la Selva,2026-06-16,14:30 - 15:00,14:30 - 15:00,31.7,32.2,31.3,28.0,0.0
Fornells de la Selva,2026-06-16,15:00 - 15:30,15:00 - 15:30,31.0,31.6,30.7,30.0,0.0
Fornells de la Selva,2026-06-16,15:30 - 16:00,15:30 - 16:00,30.2,31.0,28.7,32.0,0.0
Fornells de la Selva,2026-06-16,16:00 - 16:30,16:00 - 16:30,28.8,29.0,28.5,36.0,0.0
Fornells de la Selva,2026-06-16,16:30 - 17:00,16:30 - 17:00,28.1,28.5,27.9,43.0,0.0
Fornells de la Selva,2026-06-16,17:00 - 17:30,17:00 - 17:30,27.7,27.9,27.4,43.0,0.0
Fornells de la Selva,2026-06-16,17:30 - 18:00,17:30 - 18:00,27.5,27.6,27.3,42.0,0.0
Fornells de la Selva,2026-06-16,18:00 - 18:30,18:00 - 18:30,27.1,27.3,26.5,42.0,0.0
Fornells de la Selva,2026-06-16,18:30 - 19:00,18:30 - 19:00,25.6,26.5,24.9,47.0,0.0
Fornells de la Selva,2026-06-16,19:00 - 19:30,19:00 - 19:30,24.6,25.0,23.5,45.0,0.0
Fornells de la Selva,2026-06-16,19:30 - 20:00,19:30 - 20:00,21.8,23.2,21.2,55.0,0.0
Fornells de la Selva,2026-06-16,20:00 - 20:30,20:00 - 20:30,20.3,21.0,20.0,64.0,0.0
Fornells de la Selva,2026-06-16,20:30 - 21:00,20:30 - 21:00,19.2,20.0,18.6,70.0,0.0
Fornells de la Selva,2026-06-16,21:00 - 21:30,21:00 - 21:30,18.8,18.9,18.6,70.0,0.0
