station_name,date,period,period_utc,tm,tx,tn,hr,ppt,vvm,dvm,vvx,pm,rs
Girona,2026-06-12,00:00 - 00:30,00:00 - 00:30,13.7,14.0,13.5,100.0,0.0,0.7,267.0,4.3,1024.8,0.0
Girona,2026-06-12,00:30 - 01:00,00:30 - 01:00,13.4,13.5,13.1,100.0,0.0,0.0,270.0,1.4,1024.8,0.0
Girona,2026-06-12,01:00 - 01:30,01:00 - 01:30,13.2,13.4,13.0,100.0,0.0,1.8,286.0,4.0,1024.8,0.0
Girona,2026-06-12,01:30 - 02:00,01:30 - 02:00,12.8,13.1,12.6,100.0,0.0,1.4,294.0,4.0,1024.8,0.0
Girona,2026-06-12,02:00 - 02:30,02:00 - 02:30,12.5,12.7,12.2,100.0,0.0,0.7,331.0,2.9,1024.9,0.0
Girona,2026-06-12,02:30 - 03:00,02:30 - 03:00,12.1,12.2,12.0,100.0,0.0,0.7,345.0,4.0,1025.1,0.0
Girona,2026-06-12,03:00 - 03:30,03:00 - 03:30,12.0,12.1,11.9,100.0,0.0,1.1,354.0,3.6,1025.5,0.0
Girona,2026-06-12,03:30 - 04:00,03:30 - 04:00,11.6,12.0,11.3,100.0,0.0,0.4,289.0,2.9,1025.7,0.0
Girona,2026-06-12,04:00 - 04:30,04:00 - 04:30,11.3,11.5,11.0,100.0,0.0,1.8,266.0,4.0,1025.9,4.0
Girona,2026-06-12,04:30 - 05:00,04:30 - 05:00,11.4,11.9,11.1,100.0,0.0,1.1,288.0,4.3,1026.1,20.0
Girona,2026-06-12,05:00 - 05:30,05:00 - 05:30,13.0,14.2,12.0,100.0,0.0,0.4,180.0,2.2,1026.2,114.0
Girona,2026-06-12,05:30 - 06:00,05:30 - 06:00,14.9,16.5,13.9,94.0,0.0,0.7,272.0,4.7,1026.2,208.0
