station_name,date,period,period_utc,tm,tx,tn,hr,ppt
Fornells de la Selva,2026-01-29,00:00 - 00:30,00:00 - 00:30,0.4,0.7,-0.1,96.0,0.0
Fornells de la Selva,2026-01-29,00:30 - 01:00,00:30 - 01:00,0.6,0.7,0.4,96.0,0.0
Fornells de la Selva,2026-01-29,01:00 - 01:30,01:00 - 01:30,0.5,0.7,0.4,96.0,0.0
Fornells de la Selva,2026-01-29,01:30 - 02:00,01:30 - 02:00,0.8,0.8,0.7,96.0,0.0
Fornells de la Selva,2026-01-29,02:00 - 02:30,02:00 - 02:30,0.7,0.9,0.4,96.0,0.0
Fornells de la Selva,2026-01-29,02:30 - 03:00,02:30 - 03:00,0.2,0.4,-0.1,96.0,0.0
Fornells de la Selva,2026-01-29,03:00 - 03:30,03:00 - 03:30,-0.4,0.0,-0.6,96.0,0.0
Fornells de la Selva,2026-01-29,03:30 - 04:00,03:30 - 04:00,-0.7,-0.4,-0.8,96.0,0.0
Fornells de la Selva,2026-01-29,04:00 - 04:30,04:00 - 04:30,-0.8,-0.6,-1.0,96.0,0.0
Fornells de la Selva,2026-01-29,04:30 - 05:00,04:30 - 05:00,-0.7,-0.5,-0.9,96.0,0.0
Fornells de la Selva,2026-01-29,05:00 - 05:30,05:00 - 05:30,-0.9,-0.8,-1.0,96.0,0.0
Fornells de la Selva,2026-01-29,05:30 - 06:00,05:30 - 06:00,-0.9,-0.7,-1.1,96.0,0.0
Fornells de la Selva,2026-01-29,06:00 - 06:30,06:00 - 06:30,-0.5,-0.3,-0.7,97.0,0.0
Fornells de la Selva,2026-01-29,06:30 - 07:00,06:30 - 07:00,-0.2,0.0,-0.3,97.0,0.0
