station_name,date,period,period_utc,tm,tx,tn,hr,ppt,vvm,dvm,vvx,pm,rs
Girona,2026-04-14,00:00 - 00:30,00:00 - 00:30,4.6,4.8,4.2,100.0,0.0,1.1,317.0,3.2,1015.0,0.0
Girona,2026-04-14,00:30 - 01:00,00:30 - 01:00,4.2,4.4,3.9,100.0,0.0,2.5,298.0,5.0,1015.0,0.0
Girona,2026-04-14,01:00 - 01:30,01:00 - 01:30,4.0,4.4,3.8,100.0,0.0,1.4,316.0,5.0,1015.0,0.0
Girona,2026-04-14,01:30 - 02:00,01:30 - 02:00,3.6,3.8,3.1,100.0,0.0,1.1,303.0,2.9,1015.1,0.0
Girona,2026-04-14,02:00 - 02:30,02:00 - 02:30,3.1,3.2,3.0,100.0,0.0,0.0,305.0,1.1,1015.2,0.0
Girona,2026-04-14,02:30 - 03:00,02:30 - 03:00,2.9,3.1,2.6,100.0,0.0,0.7,305.0,2.2,1015.3,0.0
Girona,2026-04-14,03:00 - 03:30,03:00 - 03:30,2.5,2.7,2.2,100.0,0.0,0.7,304.0,2.9,1015.4,0.0
Girona,2026-04-14,03:30 - 04:00,03:30 - 04:00,2.3,2.6,2.1,100.0,0.0,0.7,305.0,2.5,1015.6,0.0
Girona,2026-04-14,04:00 - 04:30,04:00 - 04:30,2.0,2.2,1.9,100.0,0.0,0.4,304.0,2.9,1015.7,0.0
Girona,2026-04-14,04:30 - 05:00,04:30 - 05:00,1.8,2.0,1.4,100.0,0.0,0.7,305.0,2.9,1015.9,0.0
Girona,2026-04-14,05:00 - 05:30,05:00 - 05:30,1.6,1.7,1.5,100.0,0.0,0.7,308.0,4.3,1016.1,6.0
Girona,2026-04-14,05:30 - 06:00,05:30 - 06:00,2.4,3.5,1.6,100.0,0.0,1.1,327.0,4.0,1016.3,65.0
Girona,2026-04-14,06:00 - 06:30,06:00 - 06:30,5.0,6.1,3.5,100.0,0.0,1.1,345.0,3.2,1016.4,161.0
Girona,2026-04-14,06:30 - 07:00,06:30 - 07:00,7.2,8.6,5.7,96.0,0.0,0.7,91.0,3.2,1016.4,263.0
Girona,2026-04-14,07:00 - 07:30,07:00 - 07:30,9.9,10.8,8.5,78.0,0.0,0.7,12.0,2.9,1016.4,346.0
Girona,2026-04-14,07:30 - 08:00,07:30 - 08:00,11.9,13.2,10.3,69.0,0.0,0.7,167.0,3.6,1016.3,441.0
Girona,2026-04-14,08:00 - 08:30,08:00 - 08:30,13.7,14.6,13.2,60.0,0.0,1.4,159.0,5.4,1016.2,548.0
Girona,2026-04-14,08:30 - 09:00,08:30 - 09:00,14.9,15.5,14.4,54.0,0.0,2.2,140.0,6.5,1016.2,641.0
Girona,2026-04-14,09:00 - 09:30,09:00 - 09:30,15.8,16.5,15.3,50.0,0.0,4.7,136.0,11.2,1016.4,721.0
Girona,2026-04-14,09:30 - 10:00,09:30 - 10:00,16.6,17.0,16.1,47.0,0.0,5.8,211.0,14.8,1016.3,787.0
Girona,2026-04-14,10:00 - 10:30,10:00 - 10:30,17.5,18.0,16.8,38.0,0.0,4.3,165.0,10.4,1016.1,843.0
Girona,2026-04-14,10:30 - 11:00,10:30 - 11:00,18.1,18.6,17.8,35.0,0.0,6.1,236.0,14.0,1016.1,884.0
Girona,2026-04-14,11:00 - 11:30,11:00 - 11:30,18.8,19.3,18.2,34.0,0.0,4.3,177.0,13.7,1015.9,910.0
Girona,2026-04-14,11:30 - 12:00,11:30 - 12:00,19.1,19.7,18.6,33.0,0.0,5.8,192.0,16.2,1015.7,921.0
Girona,2026-04-14,12:00 - 12:30,12:00 - 12:30,19.9,20.8,19.0,30.0,0.0,4.0,112.0,10.4,1015.5,921.0
Girona,2026-04-14,12:30 - 13:00,12:30 - 13:00,20.6,20.8,20.2,26.0,0.0,5.4,145.0,11.9,1015.2,905.0
Girona,2026-04-14,13:00 - 13:30,13:00 - 13:30,20.6,21.0,20.2,24.0,0.0,4.7,358.0,10.1,1015.2,870.0
Girona,2026-04-14,13:30 - 14:00,13:30 - 14:00,21.0,21.3,20.7,23.0,0.0,6.1,172.0,12.6,1015.1,824.0
Girona,2026-04-14,14:00 - 14:30,14:00 - 14:30,21.4,21.7,21.1,23.0,0.0,8.3,71.0,22.7,1015.0,764.0
Girona,2026-04-14,14:30 - 15:00,14:30 - 15:00,21.3,21.6,21.0,23.0,0.0,10.4,61.0,23.0,1014.8,689.0
Girona,2026-04-14,15:00 - 15:30,15:00 - 15:30,21.3,21.9,20.9,24.0,0.0,8.6,51.0,23.8,1014.8,601.0
Girona,2026-04-14,15:30 - 16:00,15:30 - 16:00,20.9,21.3,20.5,25.0,0.0,11.5,58.0,20.2,1015.0,500.0
Girona,2026-04-14,16:00 - 16:30,16:00 - 16:30,20.5,20.8,20.3,27.0,0.0,10.1,59.0,21.2,1015.2,401.0
